Date,Mileage,Liters,PPL,Fuel Type,Price,Filled Tank,Driving Style,Roof Racks
20/12/2022,"47,671",22.44,139.90,E10,31.39,Y,Motorway,Y
24/12/2022,"47,894",24.75,138.90,E10,34.38,Y,Normal,Y
02/01/2023,"48,133",27.43,139.90,E10,38.37,Y,Motorway,Y
08/01/2023,"48,346",24.67,175.90,E10,43.39,Y,Motorway,Y
09/01/2023,"48,607",26.92,145.90,E10,39.28,Y,Normal,Y
26/02/2023,"48,775",22.18,140.90,E10,31.25,Y,Mixed,Y
17/03/2023,"48,869",10.91,174.90,E5,19.08,Y,Normal,Y
17/03/2023,"49,091",22.53,167.90,E10,37.83,Y,Motorway,Y
18/03/2023,"49,257",19.11,139.90,E10,26.73,Y,Motorway,Y
25/03/2023,"49,453",21.48,139.90,E10,30.05,Y,Normal,Y
07/04/2023,"49,674",23.90,142.90,E10,34.15,Y,Normal,Y
23/04/2023,"49,826",15.93,142.90,E10,22.76,Y,Normal,N
24/04/2023,"50,078",25.92,140.90,E10,36.52,Y,Motorway ,N
04/06/2023,"50,177",15.64,132.90,E10,20.79,Y,Normal,N
09/06/2023,"50,357",17.21,147.90,E10,25.45,Y,Motorway ,N
09/06/2023,"50,580",6.77,147.90,E10,10.01,N,Motorway,N
12/06/2023,"50,690",24.01,156.90,Supreme,37.67,N,Motorway,N
12/06/2023,"50,835",16.42,143.90,E10,23.63,Y,Motorway,N
06/07/2023,"50,991",15.27,140.90,E10,21.52,Y,Motorway,N
06/07/2023,"51,250",26.19,141.90,E10,37.16,Y,Motorway,N
13/07/2023,"51,387",12.08,137.90,E10,16.66,Y,Normal ,N
28/07/2023,"51,597",23.30,139.90,E10,32.6,Y,Normal,N
05/08/2023,"51,846",27.20,139.90,E10,38.05,Y,Normal ,N
11/08/2023,"52,081",24.60,146.90,E10,36.14,Y,Normal,Y
